date,time,timezone,MACB,source,sourcetype,type,user,host,short,desc,version,filename,inode,notes,format,extra
08/04/2004,04:56:42,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/$MFT 8113-1 $STANDARD_INFORMATION,TSK:/$MFT File reference: 8113-1 Attribute name: $STANDARD_INFORMATION,2,TSK:/$MFT,0,-,mft,attribute_type: 16; file_attribute_flags: 2080; file_system_type: NTFS; is_allocated: True
08/04/2004,04:56:42,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/$MFT 8117-1 $STANDARD_INFORMATION,TSK:/$MFT File reference: 8117-1 Attribute name: $STANDARD_INFORMATION,2,TSK:/$MFT,0,-,mft,attribute_type: 16; file_attribute_flags: 2080; file_system_type: NTFS; is_allocated: True
08/04/2004,04:56:42,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/$MFT 8120-1 $STANDARD_INFORMATION,TSK:/$MFT File reference: 8120-1 Attribute name: $STANDARD_INFORMATION,2,TSK:/$MFT,0,-,mft,attribute_type: 16; file_attribute_flags: 2080; file_system_type: NTFS; is_allocated: True
08/04/2004,04:56:42,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/$MFT 8121-1 $STANDARD_INFORMATION,TSK:/$MFT File reference: 8121-1 Attribute name: $STANDARD_INFORMATION,2,TSK:/$MFT,0,-,mft,attribute_type: 16; file_attribute_flags: 2080; file_system_type: NTFS; is_allocated: True
08/04/2004,04:56:42,US/Pacific,M...,FILE,NTFS Content Modification Time,Content Modification Time,-,JEAN-13FBF038A3,/$MFT 8123-1 $STANDARD_INFORMATION,TSK:/$MFT File reference: 8123-1 Attribute name: $STANDARD_INFORMATION,2,TSK:/$MFT,0,-,mft,attribute_type: 16; file_attribute_flags: 2080; file_system_type: NTFS; is_allocated: True
08/04/2004,04:56:42,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/$MFT 8131-1 $STANDARD_INFORMATION,TSK:/$MFT File reference: 8131-1 Attribute name: $STANDARD_INFORMATION,2,TSK:/$MFT,0,-,mft,attribute_type: 16; file_attribute_flags: 2080; file_system_type: NTFS; is_allocated: True
08/04/2004,04:56:42,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/$MFT 8136-1 $STANDARD_INFORMATION,TSK:/$MFT File reference: 8136-1 Attribute name: $STANDARD_INFORMATION,2,TSK:/$MFT,0,-,mft,attribute_type: 16; file_attribute_flags: 2080; file_system_type: NTFS; is_allocated: True
08/04/2004,04:56:42,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/$MFT 8138-1 $STANDARD_INFORMATION,TSK:/$MFT File reference: 8138-1 Attribute name: $STANDARD_INFORMATION,2,TSK:/$MFT,0,-,mft,attribute_type: 16; file_attribute_flags: 2080; file_system_type: NTFS; is_allocated: True
08/04/2004,04:56:42,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/$MFT 8140-1 $STANDARD_INFORMATION,TSK:/$MFT File reference: 8140-1 Attribute name: $STANDARD_INFORMATION,2,TSK:/$MFT,0,-,mft,attribute_type: 16; file_attribute_flags: 2080; file_system_type: NTFS; is_allocated: True
08/04/2004,04:56:42,US/Pacific,M..B,FILE,NTFS Content Modification Time,Content Modification Time; Creation Time,-,JEAN-13FBF038A3,/$MFT 8141-1 $STANDARD_INFORMATION,TSK:/$MFT File reference: 8141-1 Attribute name: $STANDARD_INFORMATION,2,TSK:/$MFT,0,-,mft,attribute_type: 16; file_attribute_flags: 2080; file_system_type: NTFS; is_allocated: True
